position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards
DEF,Man Utd,1.0,0,0,6,0,0.0,286,228,0,0,0.0,0.0,0,19,0,0,0,0,0,11164,0.0,1,42,368,49,True,0
FWD,Aston Villa,1.0,0,0,6,0,0.0,49,225,0,0,0.0,0.0,0,8,0,0,0,0,0,178454,0.0,1,0,15944,45,False,0
MID,Watford,1.0,0,0,6,0,0.0,394,230,0,0,0.0,0.0,0,15,0,0,0,0,0,901,0.0,1,0,8,45,True,0
MID,Watford,1.0,0,0,6,0,0.0,394,164,0,0,0.0,0.0,0,5,0,0,0,0,0,901,0.0,1,0,8,45,False,0
MID,Southampton,5.0,0,0,22,0,28.8,341,229,1,0,5.1,22.2,90,12,0,0,0,0,0,300618,0.0,3,36877,21374,63,True,0
MID,Man Utd,9.7,0,0,18,1,45.3,277,228,0,0,6.2,9.8,90,19,0,0,0,0,0,1840063,7.0,4,313634,27980,117,True,0
GK,Liverpool,2.0,0,0,6,0,0.0,223,224,0,0,0.0,0.0,0,7,0,0,0,0,0,16272,0.0,1,65,161,43,False,0
MID,Crystal Palace,1.0,0,0,6,0,0.0,148,224,0,0,0.0,0.0,0,11,0,0,0,0,0,110840,0.0,1,1125,6380,43,True,0
FWD,Everton,1.0,0,0,6,0,0.0,564,225,0,0,0.0,0.0,0,2,0,0,0,0,0,1117,0.0,1,0,1,60,True,0
MID,Watford,1.0,0,0,6,0,0.0,405,230,0,0,0.0,0.0,0,15,0,0,0,0,0,6343,0.0,1,236,294,43,True,0
MID,Watford,1.0,0,0,6,0,0.0,405,164,0,0,0.0,0.0,0,5,0,0,0,0,0,6343,0.0,1,236,294,43,False,0
DEF,Newcastle,3.5,0,0,22,1,0.5,301,226,0,0,1.1,10.0,62,10,0,0,0,0,0,1067,0.0,6,122,46,45,False,1
